"(1, 1, 'tot')_log","(2, 0, 'tot')_log","(3, 0, 'tot')_log","(3, 1, 'tot')_log","('A', 2)_log","('A', 3)_log","('B', 1)_log","('B', 3)_log","('C', 1)_log","('C', 3)_log",hour_log,pressure_log,wind_direction_log,wind_speed_log,temperature_log,rel_humidity_log,precipitation_log,dayofweek_log,is_holiday_log,timeofday_log
4.94164242261,0.0,2.8903717579,5.44673737167,4.201328759,4.42891022057,4.45248509832,4.23439631767,4.9184469031,5.00879162027,0.0,6.92185540336,5.83481073706,1.50407739678,3.09557760852,4.2341065046,0.0,0.69314718056,0.0,0.0
4.39444915467,1.09861228867,2.63905732962,5.00394630595,4.11173414976,4.43390725655,4.40769438142,4.92402383713,4.95347688026,5.02128944762,0.0,6.92188826944,5.83902536479,1.48160454092,3.10955686762,4.21787238184,0.0,0.69314718056,0.0,0.287682072452
3.63758615973,1.09861228867,2.8903717579,4.53259949315,4.01331525691,4.43887944627,4.36080299822,4.66313244333,4.98732117539,5.03363300533,0.0,6.92192113446,5.84322230397,1.4586150227,3.12334339815,4.2013703572,0.0,0.69314718056,0.0,0.510825623766
1.94591014906,0.0,2.77258872224,2.30258509299,3.98192213281,4.44382703558,4.31160417038,4.3091870885,5.02005743268,5.04582605554,0.69314718056,6.92195399838,5.84740170243,1.43508452529,3.1369424421,4.18459144007,0.0,0.69314718056,0.0,0.69314718056
2.19722457734,0.69314718056,2.7080502011,2.3978952728,3.94951144984,4.44875026672,4.45745293388,4.0973400712,5.05175591069,5.05787222441,0.69314718056,6.92198686123,5.8515637062,1.41098697371,3.15035903051,4.16752617952,0.0,0.69314718056,0.0,0.847297860387
2.48490664979,0.0,2.94443897917,1.79175946923,4.091841432,4.7073656983,4.58471234409,3.82820651934,5.08248039041,5.06977500861,0.69314718056,6.922019723,5.85570845946,1.38629436112,3.16359799457,4.15016463232,0.0,0.69314718056,0.0,0.980829253012
2.19722457734,0.0,2.56494935746,1.60943791243,4.22310417131,4.31260956609,4.60753405651,3.45883716111,5.11228894782,5.08153778143,1.09861228867,6.92205258368,5.85983610463,1.36097655314,3.17666397606,4.13249632819,0.0,0.69314718056,0.0,1.09861228867
2.56494935746,0.0,2.8903717579,1.60943791243,4.33911913366,4.18724654161,4.62984653828,3.48806291468,5.14123461462,5.0931637985,1.09861228867,6.92208544329,5.86394678235,1.33500106673,3.1895614372,4.11451023182,0.0,0.69314718056,0.0,1.20397280433
2.19722457734,0.0,2.63905732962,2.19722457734,4.1087815128,4.04388425414,4.65167201964,3.516458722,5.16936594601,5.10465620319,1.09861228867,6.92211830182,5.86804063156,1.30833281965,3.20229466972,4.09619470151,0.0,0.69314718056,0.0,1.29928298413
1.09861228867,0.0,2.07944154168,1.94591014906,3.80899310511,3.87647354497,4.71319465018,3.54407042158,5.19672751079,5.11601803173,1.38629436112,6.92215115927,5.87211778948,1.28093384546,3.21486780347,4.07753744391,0.0,0.69314718056,0.0,1.38629436112
2.63905732962,0.0,2.19722457734,1.38629436112,3.85036034504,3.67528750059,4.77115061757,3.57094015625,5.22336031608,5.12725221801,1.38629436112,6.9220087692,5.75714769519,1.34083198704,3.22816587177,4.04888218814,0.0,0.69314718056,0.0,1.46633706879
2.94443897917,0.0,2.48490664979,1.94591014906,4.33676772827,3.98098920989,4.8259309006,4.26703657004,5.24930217706,5.13836159814,1.38629436112,6.92186635884,5.62722135354,1.39734419731,3.24128941971,4.01938152375,0.0,0.69314718056,0.0,1.54044504095
3.04452243772,0.0,2.3978952728,1.94591014906,3.79728532796,4.2147907153,4.87786551613,3.90197266957,5.27458803985,5.14934891476,1.60943791243,6.92172392821,5.47785728038,1.45083288226,3.25424296871,3.98898404656,0.0,0.69314718056,0.0,1.60943791243
2.8903717579,0.0,2.30258509299,1.94591014906,4.12616617455,4.40415498675,5.13125873642,4.29551513273,5.27135718497,5.16021682106,1.60943791243,6.92158147728,5.30219871326,1.50160520763,3.26703086675,3.95763351668,0.0,0.69314718056,0.0,1.67397643357
3.04452243772,0.0,2.48490664979,1.60943791243,3.87784555363,4.44304333648,4.99919229421,5.15323378936,5.26811585781,5.17096788468,1.60943791243,6.92143900607,5.08896713736,1.5499237849,3.27965729713,3.92526823218,0.0,0.69314718056,0.0,1.73460105539
3.33220451018,1.79175946923,2.56494935746,2.56494935746,3.90479696034,4.48047582203,4.84699154923,4.98235012489,5.26486399029,5.18160459129,1.79175946923,6.92129651455,4.81758977394,1.5960148921,3.29212628661,3.89182029811,0.0,0.69314718056,0.0,1.79175946923
3.63758615973,2.94443897917,2.8903717579,2.56494935746,3.93104101126,4.51655752763,4.66739352917,4.77612179363,5.1124997055,5.19212934811,1.79175946923,6.92115400272,4.4439575924,1.6400748819,3.3044417132,3.85721476893,0.0,0.69314718056,0.0,1.8458266905
3.58351893846,3.09104245336,3.04452243772,2.94443897917,3.88721788651,4.72875856023,4.93058147525,4.51601104967,4.93267375263,5.20254448712,1.79175946923,6.92101147058,3.84064634259,1.68227523639,3.31660731336,3.82136863716,0.0,0.69314718056,0.0,1.89711998489
3.87120101091,3.52636052462,3.4657359028,3.21887582487,4.2694526645,4.60821554417,5.13873529672,4.79135925431,5.12134149608,5.2128522682,1.94591014906,6.92086891813,2.07944154168,1.72276659774,3.32862668883,3.78418963392,0.0,0.69314718056,0.0,1.94591014906
4.09434456222,3.4657359028,3.78418963392,3.78418963392,4.54531401883,4.9342580825,4.93040090139,4.69022339702,4.74909735479,5.22305488205,1.94591014906,6.92091278258,2.13350876295,1.72078049977,3.32263505916,3.78166118757,0.0,0.69314718056,0.0,1.99243016469
4.24849524205,4.00733318523,4.39444915467,4.20469261939,3.73981018278,4.66631232093,4.66692358226,4.57769620899,4.72924450109,5.11643571298,1.94591014906,6.92095664512,2.18480205734,1.71879044936,3.31660731336,3.77912633196,0.0,0.69314718056,0.0,2.03688192726
4.48863636973,4.38202663467,4.73619844839,4.43081679884,4.27860867548,4.63676574758,4.90394055543,4.56642935767,5.09491516614,4.9970771295,2.07944154168,6.92100050573,2.23359222151,1.71679643076,3.31054301339,3.77658503453,0.0,0.69314718056,0.0,2.07944154168
4.84418708646,4.46590811865,4.9558270576,4.58496747867,4.0370684944,4.92245960319,4.58415081876,4.88336994305,5.04809163114,5.25349432294,2.07944154168,6.92104436442,2.28011223714,1.71479842809,3.3044417132,3.77403726246,0.0,0.69314718056,0.0,2.1202635362
4.94164242261,4.54329478227,4.91998092583,4.81218435537,4.04873682874,4.67525579355,4.81486368958,4.40182926197,4.99896748923,5.45739872771,2.07944154168,6.92108822118,2.32456399971,1.71279642542,3.2983029585,3.77148298265,0.0,0.69314718056,0.0,2.15948424935
